time,name,text,subtype,num_reply,num_participants,user,thred_ts,parent_user_id
18/03/2021 22:44,,<@U01RSRE0N3D> has joined the channel,channel_join,,,U01RSRE0N3D,,
19/03/2021 12:58,,<@U01S79YDELR> has joined the channel,channel_join,,,U01S79YDELR,,
19/03/2021 12:59,,<@U01RUTP1ZQB> has joined the channel,channel_join,,,U01RUTP1ZQB,,
19/03/2021 13:03,,<@U01RUU9SK4K> has joined the channel,channel_join,,,U01RUU9SK4K,,
19/03/2021 13:10,,<@U01S7BM4N81> has joined the channel,channel_join,,,U01S7BM4N81,,
19/03/2021 13:28,,<@U01SJKB2MG8> has joined the channel,channel_join,,,U01SJKB2MG8,,
19/03/2021 13:39,,<@U01RV3K524T> has joined the channel,channel_join,,,U01RV3K524T,,
19/03/2021 13:46,,<@U01S133DZ9A> has joined the channel,channel_join,,,U01S133DZ9A,,
19/03/2021 14:03,,<@U01RN7BVD1C> has joined the channel,channel_join,,,U01RN7BVD1C,,
19/03/2021 14:06,,<@U01S7KCL3DF> has joined the channel,channel_join,,,U01S7KCL3DF,,
19/03/2021 14:51,,<@U01S1CWGTU4> has joined the channel,channel_join,,,U01S1CWGTU4,,
19/03/2021 14:53,,<@U01RNEU3SNA> has joined the channel,channel_join,,,U01RNEU3SNA,,
19/03/2021 15:17,,<@U01RS9Y6UJH> has joined the channel,channel_join,,,U01RS9Y6UJH,,
19/03/2021 15:34,,<@U01SK96QF5E> has joined the channel,channel_join,,,U01SK96QF5E,,
19/03/2021 16:40,,<@U01RP2K1606> has joined the channel,channel_join,,,U01RP2K1606,,
19/03/2021 16:44,,<@U01RW2X7S9Z> has joined the channel,channel_join,,,U01RW2X7S9Z,,
21/03/2021 14:22,,<@U01RVSTNRRT> has joined the channel,channel_join,,,U01RVSTNRRT,,
21/03/2021 17:03,,<@U01RW140HBP> has joined the channel,channel_join,,,U01RW140HBP,,
21/03/2021 17:04,siand,hi everyone! see you tomorrow :),,,,U01RW140HBP,,
22/03/2021 06:32,,<@U01S65G72SY> has joined the channel,channel_join,,,U01S65G72SY,,
23/03/2021 07:02,,same,,,,U01S0MFJ3HR,1616443201,U01SJKB2MG8
